Title,Authors,Author Birth Years,Languages,LCC Subjects
The House on the Borderland,"Hodgson, William Hope",1877,en,PR
"My First Years as a Frenchwoman, 1876-1879","Waddington, Mary King",1833,en,DC
The Warriors,"Lindsay, Anna Robertson Brown",1864,en,BR
"A Voyage to the Moon
With Some Account of the Manners and Customs, Science and Philosophy, of the People of Morosofia, and Other Lunarians","Tucker, George",1775,en,PS
La Fiammetta,"Boccaccio, Giovanni",1313,en,PQ
Carmilla,"Le Fanu, Joseph Sheridan",1814,en,PR
"Wild Northern Scenes
Or, Sporting Adventures with the Rifle and the Rod","Hammond, S. H. (Samuel H.)",1809,en,SK
The Eulogies of Howard: A Vision,"Hayley, William",1745,en,HV
The Mountains of California,"Muir, John",1838,en,QH F850.5
"Divine Comedy, Longfellow's Translation, Hell",Dante Alighieri,1265,en,PQ
Tenterhooks,"Leverson, Ada",1862,en,PR
There's Pippins and Cheese to Come,"Brooks, Charles S. (Charles Stephen)",1878,en,PS
Gaslight Sonatas,"Hurst, Fannie",1889,en,PS
"The Triple Alliance, Its Trials and Triumphs","Avery, Harold",1867,en,PZ
The Hunt Ball Mystery,"Magnay, William, Sir",1855,en,PR
"Divine Comedy, Longfellow's Translation, Purgatory",Dante Alighieri,1265,en,PQ
"The Life of Hon. William F. Cody, Known as Buffalo Bill, the Famous Hunter, Scout and Guide
An Autobiography",Buffalo Bill,1846,en,F590.3
"The Complete Poetical Works of Edgar Allan Poe
Including Essays on Poetry","Poe, Edgar Allan",1809,en,PS
A Beautiful Possibility,"Black, Edith Ferguson",1857,en,PS
The Magnetic North,"Robins, Elizabeth",1862,en,PS
"Divine Comedy, Longfellow's Translation, Paradise",Dante Alighieri,1265,en,PQ
The Rivet in Grandfather's Neck: A Comedy of Limitations,"Cabell, James Branch",1879,en,PS
"Klondyke Nuggets
A Brief Description of the Great Gold Regions in the Northwest","Ladue, Joseph",1855,en,E660
The Father of British Canada: a Chronicle of Carleton,"Wood, William Charles Henry",1864,en,F1001
"Dave Darrin's Second Year at Annapolis
Or, Two Midshipmen as Naval Academy ""Youngsters""","Hancock, H. Irving (Harrie Irving)",1868,en,PZ
Salute to Adventurers,"Buchan, John",1875,en,PR
Old Lady Mary: A Story of the Seen and the Unseen,"Oliphant, Mrs. (Margaret)",1828,en,PR
"Divine Comedy, Longfellow's Translation, Complete",Dante Alighieri,1265,en,PQ
A Little Pilgrim: Stories of the Seen and the Unseen,"Oliphant, Mrs. (Margaret)",1828,en,PR
"The Little Pilgrim: Further Experiences.
Stories of the Seen and the Unseen.","Oliphant, Mrs. (Margaret)",1828,en,PR
"The Open Door, and the Portrait.
Stories of the Seen and the Unseen.","Oliphant, Mrs. (Margaret)",1828,en,PR
The Secret of the Tower,"Hope, Anthony",1863,en,PR
Aunt Jane's Nieces on Vacation,"Baum, L. Frank (Lyman Frank)",1856,en,PZ
"Divine Comedy, Cary's Translation, Hell",Dante Alighieri,1265,en,PQ
"Discourses: Biological & Geological
Essays","Huxley, Thomas Henry",1825,en,Q
"The Iron Game
A Tale of the War","Keenan, Henry F. (Henry Francis)",1850,en,PS
Beltane the Smith,"Farnol, Jeffery",1878,en,PR
"The Constitution of the United States
A Brief Study of the Genesis, Formulation and Political Philosophy of the Constitution","Beck, James M. (James Montgomery)",1861,en,KF JK
Gunman's Reckoning,"Brand, Max",1892,en,PS
The Mystery of the Boule Cabinet: A Detective Story,"Stevenson, Burton Egbert",1872,en,PS
The Power and the Glory,"Cooke, Grace MacGowan",1863,en,PS
"Account of the Romansh Language
In a Letter to Sir John Pringle, Bart. P. R. S.","Planta, Joseph",1744,en,PC
"Divine Comedy, Cary's Translation, Purgatory",Dante Alighieri,1265,en,PQ
Stories of Great Americans for Little Americans,"Eggleston, Edward",1837,en,E151
By-Ways of Bombay,"Edwardes, S. M. (Stephen Meredyth)",1873,en,DS
Lister's Great Adventure,"Bindloss, Harold",1866,en,PR
Plain Words from America: A Letter to a German Professor (1917),"Johnson, Douglas Wilson",1878,en,D501
"Divine Comedy, Cary's Translation, Paradise",Dante Alighieri,1265,en,PQ
Mobilizing Woman-Power,"Blatch, Harriot Stanton",1856,en,D501
"The Boy Allies at Jutland; Or, The Greatest Naval Battle of History","Hayes, Clair W. (Clair Wallace)",1887,en,PZ
The House of the Whispering Pines,"Green, Anna Katharine",1846,en,PS
Kazan,"Curwood, James Oliver",1878,en,PS
The Minute Boys of the Mohawk Valley,"Otis, James",1848,en,PZ
Old Lady Number 31,"Forsslund, Louise",1876,en,PS
Elves and Heroes,"Mackenzie, Donald A. (Donald Alexander)",1873,en,PR
"Divine Comedy, Cary's Translation, Complete",Dante Alighieri,1265,en,PQ
Peaceless Europe,"Nitti, Francesco Saverio",1868,en,D501
"Gutta-Percha Willie
The Working Genius","MacDonald, George",1824,en,PZ
A Soldier of Virginia: A Tale of Colonel Washington and Braddock's Defeat,"Stevenson, Burton Egbert",1872,en,PS
"The Twilight of the Gods, and Other Tales","Garnett, Richard",1835,en,PR
The Healing of Nations and the Hidden Sources of Their Strife,"Carpenter, Edward",1844,en,D501
Towards the Goal,"Ward, Humphry, Mrs.",1851,en,D501
The Complete Works of William Shakespeare,"Shakespeare, William",1564,en,PR
Byron,"Nichol, John",1833,en,PR
A Little Boy Lost,"Hudson, W. H. (William Henry)",1841,en,PZ
The Czar's Spy: The Mystery of a Silent Love,"Le Queux, William",1864,en,PR
With British Guns in Italy: A Tribute to Italian Achievement,"Dalton, Hugh Dalton, Baron",1887,en,D501
The Unspeakable Gentleman,"Marquand, John P. (John Phillips)",1893,en,PS
The Postmaster's Daughter,"Tracy, Louis",1863,en,PR
American Political Ideas Viewed from the Standpoint of Universal History,"Fiske, John",1842,en,JK
All Saints' Day and Other Sermons,"Kingsley, Charles",1819,en,BX
The Folk-lore of Plants,"Dyer, T. F. Thiselton (Thomas Firminger Thiselton)",1848,en,QK GR
Adonais,"Shelley, Percy Bysshe",1792,en,PR
England of My Heart : Spring,"Hutton, Edward",1875,en,DA
Fairies and Fusiliers,"Graves, Robert",1895,en,PR
Aunt Jane's Nieces,"Baum, L. Frank (Lyman Frank)",1856,en,PZ
Aunt Jane's Nieces and Uncle John,"Baum, L. Frank (Lyman Frank)",1856,en,PZ
The Best Letters of Charles Lamb,"Lamb, Charles",1775,en,PR
Home-Life of the Lancashire Factory Folk during the Cotton Famine,"Waugh, Edwin",1817,en,HD
The Sowers,"Merriman, Henry Seton",1862,en,PR
