Title,Author,Author Birth Year,Languuage,LCC (General),LCC (Full)
UNKNOWN TITLE,UNKNOWN AUTHOR,UNKNOWN YEAR,UNKNOWN LANGUAGE,UNKNOWN LCC,UNKNOWN LCC
The Declaration of Independence of the United States of America,"Jefferson, Thomas",1743,en,J,JK
The King James Version of the Bible,UNKNOWN AUTHOR,UNKNOWN YEAR,en,B,BS
The Complete Works of William Shakespeare,"Shakespeare, William",1564,en,P,PR
La Divina Commedia di Dante: Complete,UNKNOWN AUTHOR,UNKNOWN YEAR,en,UNKNOWN LCC,UNKNOWN LCC
The Magna Carta,Anonymous,UNKNOWN YEAR,en,J,JN
Apocolocyntosis,"Seneca, Lucius Annaeus",UNKNOWN YEAR,en,P,PA
The House on the Borderland,"Hodgson, William Hope",1877,en,P,PR
"My First Years as a Frenchwoman, 1876-1879","Waddington, Mary King",1833,en,D,DC
The Warriors,"Lindsay, Anna Robertson Brown",1864,en,B,BR
"A Voyage to the Moon
With Some Account of the Manners and Customs, Science and Philosophy, of the People of Morosofia, and Other Lunarians","Tucker, George",1775,en,P,PS
La Fiammetta,"Boccaccio, Giovanni",1313,en,P,PQ
Carmilla,"Le Fanu, Joseph Sheridan",1814,en,P,PR
The Mystery,"White, Stewart Edward",1873,en,P,PS
"Wild Northern Scenes
Or, Sporting Adventures with the Rifle and the Rod","Hammond, S. H. (Samuel H.)",1809,en,S,SK
"Divine Comedy, Longfellow's Translation, Hell",Dante Alighieri,1265,en,P,PQ
The Eulogies of Howard: A Vision,"Hayley, William",1745,en,H,HV
"365 Foreign Dishes
A Foreign Dish for Every Day in the Year",Unknown,UNKNOWN YEAR,en,T,TX
The Mountains of California,"Muir, John",1838,en,F,F850.5
"Punchinello, Volume 1, No. 09, May 28, 1870",Various,UNKNOWN YEAR,en,A,AP
"Punchinello, Volume 1, No. 18, July 30, 1870",Various,UNKNOWN YEAR,en,A,AP
"Punchinello, Volume 1, No. 19, August 6, 1870",Various,UNKNOWN YEAR,en,A,AP
"Punchinello, Volume 1, No. 21, August 20, 1870",Various,UNKNOWN YEAR,en,A,AP
"Punchinello, Volume 1, No. 23,  September 3, 1870",Various,UNKNOWN YEAR,en,A,AP
"Punchinello, Volume 1, No. 05,  April 30, 1870",Various,UNKNOWN YEAR,en,A,AP
"Punchinello, Volume 1, No. 22, August 27, 1870",Various,UNKNOWN YEAR,en,A,AP
"Divine Comedy, Longfellow's Translation, Purgatory",Dante Alighieri,1265,en,P,PQ
"The Strand Magazine: Vol. 07, Issue 37, January, 1894.
An Illustrated Monthly",Various,UNKNOWN YEAR,en,A,AP
Tenterhooks,"Leverson, Ada",1862,en,P,PR
White Queen of the Cannibals: the Story of Mary Slessor of Calabar,"Bueltmann, A. J.",UNKNOWN YEAR,en,B,BV
There's Pippins and Cheese to Come,"Brooks, Charles S. (Charles Stephen)",1878,en,P,PS
Beneath the Banner: Being Narratives of Noble Lives and Brave Deeds,"Cross, F. J. (Frederick J.)",UNKNOWN YEAR,en,C,CT
Gaslight Sonatas,"Hurst, Fannie",1889,en,P,PS
"The Mirror of Literature, Amusement, and Instruction
Volume 10, No. 268, August 11, 1827",Various,UNKNOWN YEAR,en,A,AP
"The Triple Alliance, Its Trials and Triumphs","Avery, Harold",1867,en,P,PZ
Spalding's Official Baseball Guide - 1913,UNKNOWN AUTHOR,UNKNOWN YEAR,en,G,GV
The Hunt Ball Mystery,"Magnay, William, Sir",1855,en,P,PR
"Divine Comedy, Longfellow's Translation, Paradise",Dante Alighieri,1265,en,P,PQ
"The Life of Hon. William F. Cody, Known as Buffalo Bill, the Famous Hunter, Scout and Guide
An Autobiography",Buffalo Bill,1846,en,F,F590.3
"The Complete Poetical Works of Edgar Allan Poe
Including Essays on Poetry","Poe, Edgar Allan",1809,en,P,PS
"Punchinello, Volume 1, No. 24, September 10, 1870",Various,UNKNOWN YEAR,en,A,AP
"Punchinello, Volume 1, No. 25, September 17, 1870",Various,UNKNOWN YEAR,en,A,AP
"Punchinello, Volume 1, No. 26, September 24, 1870",Various,UNKNOWN YEAR,en,A,AP
"Punchinello, Volume 2, No. 27, October 1, 1870",Various,UNKNOWN YEAR,en,A,AP
"Punchinello, Volume 2, No. 28, October 8, 1870",Various,UNKNOWN YEAR,en,A,AP
A Beautiful Possibility,"Black, Edith Ferguson",1857,en,P,PS
The Magnetic North,"Robins, Elizabeth",1862,en,P,PS
"The Works of Aphra Behn, Volume III","Behn, Aphra",1640,en,P,PR
"Divine Comedy, Longfellow's Translation, Complete",Dante Alighieri,1265,en,P,PQ
"Aleutian Indian and English Dictionary
Common Words in the Dialects of the Aleutian Indian Language as Spoken by the Oogashik, Egashik, Anangashuk and Misremie Tribes Around Sulima River and Neighboring Parts of the Alaska Peninsula","Lee, Charles A.",UNKNOWN YEAR,en,P,PM
The Rivet in Grandfather's Neck: A Comedy of Limitations,"Cabell, James Branch",1879,en,P,PS
The Child under Eight,"Murray, E. R. (Elsie Riach)",1861,en,L,LB
"Klondyke Nuggets
A Brief Description of the Great Gold Regions in the Northwest","Ladue, Joseph",1855,en,E,E660
The Father of British Canada: a Chronicle of Carleton,"Wood, William Charles Henry",1864,en,F,F1001
"Dave Darrin's Second Year at Annapolis
Or, Two Midshipmen as Naval Academy ""Youngsters""","Hancock, H. Irving (Harrie Irving)",1868,en,P,PZ
Salute to Adventurers,"Buchan, John",1875,en,P,PR
"Punchinello, Volume 2, No. 29, October 15, 1870",Various,UNKNOWN YEAR,en,A,AP
"Billie Bradley and Her Inheritance; Or, The Queer Homestead at Cherry Corners","Wheeler, Janet D.",UNKNOWN YEAR,en,P,PZ
Old Lady Mary: A Story of the Seen and the Unseen,"Oliphant, Mrs. (Margaret)",1828,en,P,PR
"Divine Comedy, Cary's Translation, Hell",Dante Alighieri,1265,en,P,PQ
A Little Pilgrim: Stories of the Seen and the Unseen,"Oliphant, Mrs. (Margaret)",1828,en,P,PR
"The Little Pilgrim: Further Experiences.
Stories of the Seen and the Unseen.","Oliphant, Mrs. (Margaret)",1828,en,P,PR
"The Open Door, and the Portrait.
Stories of the Seen and the Unseen.","Oliphant, Mrs. (Margaret)",1828,en,P,PR
La vampire,"Féval, Paul",1817,fr,P,PQ
Nova analysis aquarum Medeviensium,"Berzelius, Jöns Jakob, friherre",1779,la,T,TN
Hamburgische Dramaturgie,"Lessing, Gotthold Ephraim",1729,de,P,PN
"Chinese Literature
Comprising the Analects of Confucius, the Sayings of Mencius, the Shi-King, the Travels of Fâ-Hien, and the Sorrows of Han",Faxian,-385,en,P,PJ
The Secret of the Tower,"Hope, Anthony",1863,en,P,PR
"The Divine Office
A Study of the Roman Breviary","Quigley, Edward J.",UNKNOWN YEAR,en,B,BX
Aunt Jane's Nieces on Vacation,"Baum, L. Frank (Lyman Frank)",1856,en,P,PZ
"Divine Comedy, Cary's Translation, Purgatory",Dante Alighieri,1265,en,P,PQ
"Discourses: Biological & Geological
Essays","Huxley, Thomas Henry",1825,en,Q,Q
Les Heures Claires,"Verhaeren, Emile",1855,fr,P,PQ
"The Iron Game
A Tale of the War","Keenan, Henry F. (Henry Francis)",1850,en,P,PS
Happiness and Marriage,"Towne, Elizabeth",UNKNOWN YEAR,en,H,HQ
Beltane the Smith,"Farnol, Jeffery",1878,en,P,PR
"The Constitution of the United States
A Brief Study of the Genesis, Formulation and Political Philosophy of the Constitution","Beck, James M. (James Montgomery)",1861,en,K,KF
Gunman's Reckoning,"Brand, Max",1892,en,P,PS
The Mystery of the Boule Cabinet: A Detective Story,"Stevenson, Burton Egbert",1872,en,P,PS
The Power and the Glory,"Cooke, Grace MacGowan",1863,en,P,PS
"Account of the Romansh Language
In a Letter to Sir John Pringle, Bart. P. R. S.","Planta, Joseph",1744,en,P,PC
"Divine Comedy, Cary's Translation, Paradise",Dante Alighieri,1265,en,P,PQ
Stories of Great Americans for Little Americans,"Eggleston, Edward",1837,en,E,E151
By-Ways of Bombay,"Edwardes, S. M. (Stephen Meredyth)",1873,en,D,DS
"English Housewifery
Exemplified in above Four Hundred and Fifty Receipts Giving Directions for most Parts of Cookery","Moxon, Elizabeth",UNKNOWN YEAR,en,T,TX
The Century Vocabulary Builder,"Greever, Garland",1883,en,P,PE
"The Mirror of Literature, Amusement, and Instruction
Volume 10, No. 269, August 18, 1827",Various,UNKNOWN YEAR,en,A,AP
"A Narrative of the Life and Adventures of Venture, a Native of Africa, but Resident above Sixty Years in the United States of America, Related by Himself","Smith, Venture",UNKNOWN YEAR,en,E,E300
Lister's Great Adventure,"Bindloss, Harold",1866,en,P,PR
"The Atlantic Monthly, Volume 10, No. 60, October, 1862
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
Plain Words from America: A Letter to a German Professor (1917),"Johnson, Douglas Wilson",1878,en,D,D501
"The Atlantic Monthly, Volume 02, No. 09, July, 1858
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
"Divine Comedy, Cary's Translation, Complete",Dante Alighieri,1265,en,P,PQ
Mobilizing Woman-Power,"Blatch, Harriot Stanton",1856,en,D,D501
"The Boy Allies at Jutland; Or, The Greatest Naval Battle of History","Hayes, Clair W. (Clair Wallace)",1887,en,P,PZ
The Hampstead Mystery,"Watson, John R. (John Reay)",1872,en,P,PR
The House of the Whispering Pines,"Green, Anna Katharine",1846,en,P,PS
Kazan,"Curwood, James Oliver",1878,en,P,PS
